1.05 -117.008500 34.203667 1488185465 9km E of Running Springs, CA
2.30 -150.073800 61.380900 1488248582 16km SSW of Big Lake, Alaska
2.22 -124.334663 40.307167 1488184278 28km SW of Rio Dell, California
2.19 -121.580170 36.958000 1488173538 5km S of Gilroy, California
2.06 -155.279831 19.383499 1488221759 6km SW of Volcano, Hawaii
4.50 -157.822000 55.288800 1488211648 122km SSE of Chignik Lake, Alaska
1.00 -116.774667 33.280667 1488210184 4km NNW of Lake Henshaw, CA
2.58 -124.934166 40.348999 1488251092 62km WSW of Ferndale, California
0.98 -122.757500 38.797001 1488186233 2km N of The Geysers, California
2.80 -98.161300 37.286900 1488184600 12km W of Harper, Kansas
2.67 -155.544006 19.831833 1488249267 25km SSE of Waimea, Hawaii
3.20 -151.857200 60.217700 1489112531 34km WSW of Cohoe, Alaska
1.80 -139.383400 59.918200 1489112331 45km NNE of Yakutat, Alaska
1.60 -119.362500 38.559700 1489114505 24km S of Smith Valley, Nevada
